URL,Title
https://newyork.craigslist.org/brk/fuo/d/beautiful-6ft-tall-fancy/6332400625.html,Beautiful 6ft. tall fancy throne chair
https://newyork.craigslist.org/jsy/fuo/d/couch-sectional-sofa/6357448321.html,Couch sectional sofa
https://newyork.craigslist.org/que/fuo/d/like-new-counter-high-bar/6357447996.html,LIKE NEW Counter High Bar Stools
https://newyork.craigslist.org/lgi/fuo/d/use-furniture/6357447907.html,use furniture
https://newyork.craigslist.org/lgi/fuo/d/bernhardt-3-piece-table-set/6357447698.html,"Bernhardt 3 piece table set (coffee, end and sofa table) asian style"
https://newyork.craigslist.org/mnh/fuo/d/cb2-cielo-white-side-chairs/6350509844.html,CB2 Cielo White Side Chairs
https://newyork.craigslist.org/brk/fuo/d/crate-and-barrel-metal-and/6357447270.html,Crate and barrel metal and ceramic side table
https://newyork.craigslist.org/lgi/fuo/d/microwave-cart/6357447116.html,Microwave cart
https://newyork.craigslist.org/mnh/fuo/d/two-matching-ginger-jar-lamps/6337538771.html,Two Matching Ginger Jar Lamps
https://newyork.craigslist.org/brk/fuo/d/gorgeous-65-tall-throne-chair/6319122286.html,"Gorgeous 65"" tall throne chair"
https://newyork.craigslist.org/mnh/fuo/d/lot-of-2-large-wooden-frame/6340041955.html,"Lot of 2 large wooden frame canvass 60x40"" 4 repaint home/store decor"
https://newyork.craigslist.org/mnh/fuo/d/tall-white-closet/6357446696.html,Tall white closet
https://newyork.craigslist.org/fct/fuo/d/chairs/6357374325.html,Chairs
https://newyork.craigslist.org/brk/fuo/d/west-elm-wide-two-drawer-file/6357446622.html,West Elm Wide Two-Drawer File Cabinet
https://newyork.craigslist.org/fct/fuo/d/super-fun-happy-kids-bench/6335741654.html,"Super fun, happy Kid's Bench!"
https://newyork.craigslist.org/mnh/fuo/d/antique-industrial-coffee/6331067709.html,Antique industrial coffee table railroad cart wheel cast iron steel solid wood c
https://newyork.craigslist.org/mnh/fuo/d/1695-crate-barrel-leather/6320842890.html,$1695 Crate & Barrel Leather sofa chair cushions! Please read
https://newyork.craigslist.org/fct/fuo/d/white-coffee-table-with/6354293998.html,White coffee table with wicker inlay & Glass top
https://newyork.craigslist.org/lgi/fuo/d/ethan-allen-dining-table-and/6357446359.html,Ethan Allen Dining table and chairs
https://newyork.craigslist.org/mnh/fuo/d/great-two-seat-leather-sofa/6320841798.html,"great two-seat leather sofa cushion (one piece) Still clean,  read"
https://newyork.craigslist.org/stn/fuo/d/starbucks-verismo-coffee-bar/6319100213.html,"*** STARBUCKS, VERISMO COFFEE BAR SYSTEM, LIKE NEW"
https://newyork.craigslist.org/fct/fuo/d/anthropologie-ottoman-in/6335741927.html,Anthropologie ottoman in absolutely perfect shape
https://newyork.craigslist.org/stn/fuo/d/tlimoges-masterpieces-made-in/6353672685.html,"***""T.LIMOGES"" MASTERPIECES, MADE IN FRANCE***"
https://newyork.craigslist.org/lgi/fuo/d/beautiful-living-room/6357445452.html,Beautiful  living room furniture
https://newyork.craigslist.org/mnh/fuo/d/crate-barrel-harbor-5-drawer/6357445276.html,Crate & Barrel Harbor 5-Drawer Dresser
